AFFYMETRIX_3PRIME_IVT_ID	Gene Name	Species	BBID	GOTERM_CC_FAT	BIOCARTA	GOTERM_MF_FAT	SMART	COG_ONTOLOGY	SP_PIR_KEYWORDS	KEGG_PATHWAY	INTERPRO	UP_SEQ_FEATURE	OMIM_DISEASE	GOTERM_BP_FAT	PIR_SUPERFAMILY
40790_at	basic helix-loop-helix family, member e40	Homo sapiens				GO:0003677~DNA binding,GO:0003700~transcription factor activity,GO:0016564~transcription repressor activity,GO:0030528~transcription regulator activity,	SM00353:HLH,SM00511:ORANGE,		complete proteome,dna-binding,nucleus,phosphoprotein,Transcription,transcription regulation,ubl conjugation,	hsa04710:Circadian rhythm,	IPR001092:Basic helix-loop-helix dimerisation region bHLH,IPR003650:Orange,IPR011598:Helix-loop-helix DNA-binding,IPR018352:Orange subgroup,	chain:Class E basic helix-loop-helix protein 40,DNA-binding region:Basic motif,domain:Helix-loop-helix motif,domain:Orange,modified residue,		GO:0006350~transcription,GO:0006355~regulation of transcription, DNA-dependent,GO:0009649~entrainment of circadian clock,GO:0009890~negative regulation of biosynthetic process,GO:0010558~negative regulation of macromolecule biosynthetic process,GO:0010605~negative regulation of macromolecule metabolic process,GO:0010629~negative regulation of gene expression,GO:0016481~negative regulation of transcription,GO:0031327~negative regulation of cellular biosynthetic process,GO:0031644~regulation of neurological system process,GO:0042752~regulation of circadian rhythm,GO:0044057~regulation of system process,GO:0045449~regulation of transcription,GO:0045892~negative regulation of transcription, DNA-dependent,GO:0045934~negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,GO:0048167~regulation of synaptic plasticity,GO:0048168~regulation of neuronal synaptic plasticity,GO:0050804~regulation of synaptic transmission,GO:0051172~negative regulation of nitrogen compound metabolic process,GO:0051252~regulation of RNA metabolic process,GO:0051253~negative regulation of RNA metabolic process,GO:0051969~regulation of transmission of nerve impulse,	PIRSF027808:PIRSF027808,
38201_at	branched chain aminotransferase 1, cytosolic	Homo sapiens		GO:0005829~cytosol,		GO:0004084~branched-chain-amino-acid transaminase activity,GO:0008483~transaminase activity,GO:0016769~transferase activity, transferring nitrogenous groups,GO:0042802~identical protein binding,			3d-structure,acetylation,amino-acid biosynthesis,Aminotransferase,branched-chain amino acid biosynthesis,complete proteome,cytoplasm,polymorphism,pyridoxal phosphate,transferase,	hsa00280:Valine, leucine and isoleucine degradation,hsa00290:Valine, leucine and isoleucine biosynthesis,hsa00770:Pantothenate and CoA biosynthesis,	IPR001544:Aminotransferase, class IV,IPR005786:Branched-chain amino acid aminotransferase II,IPR018300:Aminotransferase, class IV, conserved site,	chain:Branched-chain-amino-acid aminotransferase, cytosolic,helix,modified residue,sequence conflict,sequence variant,strand,turn,		GO:0000082~G1/S transition of mitotic cell cycle,GO:0000278~mitotic cell cycle,GO:0007049~cell cycle,GO:0008283~cell proliferation,GO:0008652~cellular amino acid biosynthetic process,GO:0009063~cellular amino acid catabolic process,GO:0009081~branched chain family amino acid metabolic process,GO:0009082~branched chain family amino acid biosynthetic process,GO:0009083~branched chain family amino acid catabolic process,GO:0009309~amine biosynthetic process,GO:0009310~amine catabolic process,GO:0016053~organic acid biosynthetic process,GO:0016054~organic acid catabolic process,GO:0022402~cell cycle process,GO:0022403~cell cycle phase,GO:0044271~nitrogen compound biosynthetic process,GO:0046394~carboxylic acid biosynthetic process,GO:0046395~carboxylic acid catabolic process,GO:0051325~interphase,GO:0051329~interphase of mitotic cell cycle,	PIRSF006468:BCAT1,PIRSF006468:branched-chain amino acid aminotransferase, BCAT1 type,
39094_at	bromodomain containing 4	Homo sapiens		GO:0005730~nucleolus,GO:0031974~membrane-enclosed lumen,GO:0031981~nuclear lumen,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0043233~organelle lumen,GO:0070013~intracellular organelle lumen,		GO:0003677~DNA binding,	SM00297:BROMO,		3d-structure,acetylation,alternative splicing,bromodomain,chromosomal rearrangement,complete proteome,nucleus,phosphoprotein,polymorphism,repeat,		IPR001487:Bromodomain,IPR018359:Bromodomain, conserved site,	chain:Bromodomain-containing protein 4,compositionally biased region:Lys-rich,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Arg,compositionally biased region:Poly-Gln,compositionally biased region:Poly-His,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,compositionally biased region:Ser-rich,domain:Bromo 1,domain:Bromo 2,helix,modified residue,sequence variant,site:Breakpoint for translocation to form BDR4-NUT fusion protein,splice variant,turn,		GO:0006468~protein amino acid phosphorylation,GO:0006793~phosphorus metabolic process,GO:0006796~phosphate metabolic process,GO:0016310~phosphorylation,GO:0043388~positive regulation of DNA binding,GO:0044093~positive regulation of molecular function,GO:0051098~regulation of binding,GO:0051099~positive regulation of binding,GO:0051101~regulation of DNA binding,	
1786_at	c-mer proto-oncogene tyrosine kinase	Homo sapiens		GO:0000267~cell fraction,GO:0001750~photoreceptor outer segment,GO:0005625~soluble fraction,GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0005929~cilium,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0031226~intrinsic to plasma membrane,GO:0031513~nonmotile primary cilium,GO:0042995~cell projection,GO:0044459~plasma membrane part,		GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004672~protein kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005524~ATP binding,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,	SM00060:FN3,SM00219:TyrKc,SM00409:IG,		3d-structure,atp-binding,complete proteome,disease mutation,disulfide bond,glycoprotein,Immunoglobulin domain,kinase,membrane,nucleotide-binding,phosphoprotein,polymorphism,Proto-oncogene,receptor,repeat,retinitis pigmentosa,sensory transduction,signal,transferase,transmembrane,tyrosine-protein kinase,vision,		IPR000719:Protein kinase, core,IPR001245:Tyrosine protein kinase,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like,IPR008266:Tyrosine protein kinase, active site,IPR008957:Fibronectin, type III-like fold,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,IPR017441:Protein kinase, ATP binding site,	active site:Proton acceptor,binding site:ATP,chain:Proto-oncogene tyrosine-protein kinase Mer,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Protein kinase,glycosylation site:N-linked (GlcNAc...),helix,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,signal peptide,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,	Retinitis pigmentosa, MERTK-related,Retinitis pigmentosa-38,	GO:0006468~protein amino acid phosphorylation,GO:0006793~phosphorus metabolic process,GO:0006796~phosphate metabolic process,GO:0006897~endocytosis,GO:0006909~phagocytosis,GO:0007166~cell surface receptor linked signal transduction,GO:0007267~cell-cell signaling,GO:0007600~sensory perception,GO:0007601~visual perception,GO:0010324~membrane invagination,GO:0016044~membrane organization,GO:0016192~vesicle-mediated transport,GO:0016310~phosphorylation,GO:0050877~neurological system process,GO:0050890~cognition,GO:0050953~sensory perception of light stimulus,	PIRSF000629:tyrosine-protein kinase receptor TYRO3/UFO/MER type,PIRSF500787:proto-oncogene tyrosine-protein kinase MER,
37172_at	carboxypeptidase B2 (plasma)	Homo sapiens		GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0044421~extracellular region part,		GO:0004180~carboxypeptidase activity,GO:0004181~metallocarboxypeptidase activity,GO:0008233~peptidase activity,GO:0008235~metalloexopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008238~exopeptidase activity,GO:0008270~zinc ion binding,GO:0043167~ion binding,GO:0043169~cation binding,GO:0046872~metal ion binding,GO:0046914~transition metal ion binding,GO:0070011~peptidase activity, acting on L-amino acid peptides,	SM00631:Zn_pept,		3d-structure,alternative splicing,carboxypeptidase,complete proteome,direct protein sequencing,disulfide bond,glycoprotein,hydrolase,metal-binding,metallo-carboxypeptidase,metalloprotease,polymorphism,Protease,Secreted,signal,zinc,zymogen,	hsa04610:Complement and coagulation cascades,	IPR000834:Peptidase M14, carboxypeptidase A,IPR003146:Proteinase inhibitor, carboxypeptidase propeptide,	active site:Nucleophile,chain:Carboxypeptidase B2,disulfide bond,glycosylation site:N-linked (GlcNAc...),glycosylation site:N-linked (GlcNAc...); partial,helix,metal ion-binding site:Zinc,propeptide:Activation peptide,sequence conflict,sequence variant,signal peptide,splice variant,strand,turn,		GO:0006508~proteolysis,GO:0030193~regulation of blood coagulation,GO:0030195~negative regulation of blood coagulation,GO:0032101~regulation of response to external stimulus,GO:0042730~fibrinolysis,GO:0050818~regulation of coagulation,GO:0050819~negative regulation of coagulation,GO:0051241~negative regulation of multicellular organismal process,	PIRSF001128:carboxypeptidase,
32469_at	carcinoembryonic antigen-related cell adhesion molecule 3	Homo sapiens		GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,			SM00409:IG,		alternative splicing,complete proteome,glycoprotein,Immunoglobulin domain,membrane,phosphoprotein,polymorphism,signal,transmembrane,transmembrane protein,		IPR003599:Immunoglobulin subtype,IPR013106:Immunoglobulin V-set,IPR013783:Immunoglobulin-like fold,	chain:Carcinoembryonic antigen-related cell adhesion molecule 3,domain:Ig-like V-type,glycosylation site:N-linked (GlcNAc...),mutagenesis site,sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,			
33530_at	carcinoembryonic antigen-related cell adhesion molecule 8	Homo sapiens		GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0031225~anchored to membrane,GO:0031226~intrinsic to plasma membrane,GO:0044421~extracellular region part,GO:0044459~plasma membrane part,			SM00409:IG,		3d-structure,cell membrane,complete proteome,disulfide bond,glycoprotein,gpi-anchor,Immunoglobulin domain,lipoprotein,membrane,phosphatidylinositol linkage,polymorphism,repeat,signal,		IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like,IPR013106:Immunoglobulin V-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,	chain:Carcinoembryonic antigen-related cell adhesion molecule 8,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like V-type,glycosylation site:N-linked (GlcNAc...),helix,lipid moiety-binding region:GPI-anchor amidated aspartate,propeptide:Removed in mature form,sequence variant,signal peptide,strand,turn,		GO:0006955~immune response,	
37105_at679_at	cathepsin G	Homo sapiens		GO:0005886~plasma membrane,GO:0009986~cell surface,		GO:0004175~endopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0008233~peptidase activity,GO:0008236~serine-type peptidase activity,GO:0017171~serine hydrolase activity,GO:0070011~peptidase activity, acting on L-amino acid peptides,	SM00020:Tryp_SPc,		3d-structure,antibiotic,Antimicrobial,complete proteome,direct protein sequencing,disulfide bond,glycoprotein,hydrolase,lysosome,polymorphism,Protease,Serine protease,serine proteinase,signal,zymogen,	hsa04080:Neuroactive ligand-receptor interaction,hsa04142:Lysosome,hsa04614:Renin-angiotensin system,hsa05322:Systemic lupus erythematosus,	IPR001254:Peptidase S1 and S6, chymotrypsin/Hap,IPR001314:Peptidase S1A, chymotrypsin,IPR018114:Peptidase S1/S6, chymotrypsin/Hap, active site,	active site:Charge relay system,chain:Cathepsin G,disulfide bond,domain:Peptidase S1,glycosylation site:N-linked (GlcNAc...),helix,propeptide:Activation peptide,sequence variant,signal peptide,strand,turn,		GO:0006508~proteolysis,GO:0006952~defense response,GO:0006955~immune response,GO:0009617~response to bacterium,GO:0042742~defense response to bacterium,	PIRSF001135:trypsin,
36421_at	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	Homo sapiens		GO:0005654~nucleoplasm,GO:0008023~transcription elongation factor complex,GO:0016591~DNA-directed RNA polymerase II, holoenzyme,GO:0016593~Cdc73/Paf1 complex,GO:0031974~membrane-enclosed lumen,GO:0031981~nuclear lumen,GO:0043233~organelle lumen,GO:0044451~nucleoplasm part,GO:0070013~intracellular organelle lumen,					acetylation,cell cycle,complete proteome,direct protein sequencing,disease mutation,nucleus,phosphoprotein,Transcription,tumor suppressor,		IPR007852:RNA polymerase II accessory factor, Cdc73,	chain:Parafibromin,compositionally biased region:Poly-Ile,modified residue,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,	Hyperparathyroidism, familial primary,Hyperparathyroidism-jaw tumor syndrome,Parathyroid adenoma with cystic changes,Parathyroid carcinoma,	GO:0006325~chromatin organization,GO:0006350~transcription,GO:0006513~protein monoubiquitination,GO:0007049~cell cycle,GO:0010390~histone monoubiquitination,GO:0016567~protein ubiquitination,GO:0016568~chromatin modification,GO:0016569~covalent chromatin modification,GO:0016570~histone modification,GO:0016574~histone ubiquitination,GO:0032446~protein modification by small protein conjugation,GO:0033523~histone H2B ubiquitination,GO:0051276~chromosome organization,GO:0070647~protein modification by small protein conjugation or removal,	PIRSF037563:PIRSF037563,
37454_at	chemokine (C-C motif) ligand 13	Homo sapiens	109.Chemokine_families,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0044421~extracellular region part,		GO:0005125~cytokine activity,GO:0008009~chemokine activity,GO:0042379~chemokine receptor binding,	SM00199:SCY,		3d-structure,chemotaxis,complete proteome,cytokine,direct protein sequencing,disulfide bond,inflammatory response,polymorphism,Pyrrolidone carboxylic acid,Secreted,signal,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04621:NOD-like receptor signaling pathway,	IPR000827:Small chemokine, C-C group, conserved site,IPR001811:Small chemokine, interleukin-8-like,	chain:C-C motif chemokine 13, long chain,chain:C-C motif chemokine 13, medium chain,chain:C-C motif chemokine 13, short chain,disulfide bond,helix,modified residue,sequence conflict,sequence variant,signal peptide,strand,		GO:0006873~cellular ion homeostasis,GO:0006874~cellular calcium ion homeostasis,GO:0006875~cellular metal ion homeostasis,GO:0006935~chemotaxis,GO:0006952~defense response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007267~cell-cell signaling,GO:0007610~behavior,GO:0007626~locomotory behavior,GO:0009611~response to wounding,GO:0019725~cellular homeostasis,GO:0030003~cellular cation homeostasis,GO:0030005~cellular di-, tri-valent inorganic cation homeostasis,GO:0042330~taxis,GO:0042592~homeostatic process,GO:0048878~chemical homeostasis,GO:0050801~ion homeostasis,GO:0055065~metal ion homeostasis,GO:0055066~di-, tri-valent inorganic cation homeostasis,GO:0055074~calcium ion homeostasis,GO:0055080~cation homeostasis,GO:0055082~cellular chemical homeostasis,	PIRSF001950:small inducible chemokine, C/CC types,PIRSF500572:small inducible cytokine, A2 type,
36703_at	chemokine (C-C motif) ligand 25	Homo sapiens		GO:0000267~cell fraction,GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005625~soluble fraction,GO:0044421~extracellular region part,		GO:0005125~cytokine activity,GO:0005179~hormone activity,GO:0008009~chemokine activity,GO:0042379~chemokine receptor binding,	SM00199:SCY,		alternative splicing,chemotaxis,complete proteome,cytokine,disulfide bond,inflammatory response,polymorphism,Secreted,signal,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04672:Intestinal immune network for IgA production,	IPR000827:Small chemokine, C-C group, conserved site,IPR001811:Small chemokine, interleukin-8-like,	chain:C-C motif chemokine 25,disulfide bond,sequence variant,signal peptide,splice variant,		GO:0006928~cell motion,GO:0006935~chemotaxis,GO:0006952~defense response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007166~cell surface receptor linked signal transduction,GO:0007186~G-protein coupled receptor protein signaling pathway,GO:0007610~behavior,GO:0007626~locomotory behavior,GO:0009611~response to wounding,GO:0016477~cell migration,GO:0042330~taxis,GO:0048870~cell motility,GO:0050900~leukocyte migration,GO:0051674~localization of cell,	PIRSF001950:small inducible chemokine, C/CC types,
1403_s_at	chemokine (C-C motif) ligand 5	Homo sapiens	109.Chemokine_families,18.Cytokine_astocytes,22.Cytokine-chemokine_CNS,33.GProt-coupled_Rec_T_Cell_med_Inflamm,34.Chemokines_in_EAE,	GO:0000267~cell fraction,GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005625~soluble fraction,GO:0044421~extracellular region part,	h_eosinophilsPathway:The Role of Eosinophils in the Chemokine Network of Allergy,	GO:0005125~cytokine activity,GO:0008009~chemokine activity,GO:0042056~chemoattractant activity,GO:0042379~chemokine receptor binding,	SM00199:SCY,		3d-structure,chemotaxis,complete proteome,cytokine,direct protein sequencing,disulfide bond,glycoprotein,immediate-early protein,inflammation,inflammatory response,polymorphism,Secreted,signal,T-cell,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa05020:Prion diseases,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,	IPR000827:Small chemokine, C-C group, conserved site,IPR001811:Small chemokine, interleukin-8-like,	chain:C-C motif chemokine 5,chain:RANTES(3-68),chain:RANTES(4-68),disulfide bond,glycosylation site:O-linked (GalNAc...); partial,helix,sequence conflict,sequence variant,signal peptide,site:Cleavage; by DPP4,site:Susceptible to oxidation,strand,	HIV-1 disease, delayed progression of,HIV-1 disease, rapid progression of,	GO:0002237~response to molecule of bacterial origin,GO:0002544~chronic inflammatory response,GO:0002673~regulation of acute inflammatory response,GO:0002675~positive regulation of acute inflammatory response,GO:0002761~regulation of myeloid leukocyte differentiation,GO:0002763~positive regulation of myeloid leukocyte differentiation,GO:0006873~cellular ion homeostasis,GO:0006874~cellular calcium ion homeostasis,GO:0006875~cellular metal ion homeostasis,GO:0006887~exocytosis,GO:0006928~cell motion,GO:0006935~chemotaxis,GO:0006952~defense response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0006968~cellular defense response,GO:0006979~response to oxidative stress,GO:0007155~cell adhesion,GO:0007166~cell surface receptor linked signal transduction,GO:0007186~G-protein coupled receptor protein signaling pathway,GO:0007267~cell-cell signaling,GO:0007568~aging,GO:0007610~behavior,GO:0007626~locomotory behavior,GO:0009611~response to wounding,GO:0009615~response to virus,GO:0009617~response to bacterium,GO:0009719~response to endogenous stimulus,GO:0009725~response to hormone stimulus,GO:0010033~response to organic substance,GO:0016192~vesicle-mediated transport,GO:0016477~cell migration,GO:0019725~cellular homeostasis,GO:0022610~biological adhesion,GO:0030003~cellular cation homeostasis,GO:0030005~cellular di-, tri-valent inorganic cation homeostasis,GO:0030595~leukocyte chemotaxis,GO:0031349~positive regulation of defense response,GO:0031620~regulation of fever,GO:0031622~positive regulation of fever,GO:0031650~regulation of heat generation,GO:0031652~positive regulation of heat generation,GO:0031960~response to corticosteroid stimulus,GO:0032101~regulation of response to external stimulus,GO:0032103~positive regulation of response to external stimulus,GO:0032496~response to lipopolysaccharide,GO:0032844~regulation of homeostatic process,GO:0032846~positive regulation of homeostatic process,GO:0032868~response to insulin stimulus,GO:0032940~secretion by cell,GO:0034097~response to cytokine stimulus,GO:0034612~response to tumor necrosis factor,GO:0042330~taxis,GO:0042493~response to drug,GO:0042592~homeostatic process,GO:0043434~response to peptide hormone stimulus,GO:0045069~regulation of viral genome replication,GO:0045071~negative regulation of viral genome replication,GO:0045597~positive regulation of cell differentiation,GO:0045637~regulation of myeloid cell differentiation,GO:0045639~positive regulation of myeloid cell differentiation,GO:0045670~regulation of osteoclast differentiation,GO:0045672~positive regulation of osteoclast differentiation,GO:0046903~secretion,GO:0048247~lymphocyte chemotaxis,GO:0048525~negative regulation of viral reproduction,GO:0048545~response to steroid hormone stimulus,GO:0048584~positive regulation of response to stimulus,GO:0048870~cell motility,GO:0048878~chemical homeostasis,GO:0050727~regulation of inflammatory response,GO:0050729~positive regulation of inflammatory response,GO:0050792~regulation of viral reproduction,GO:0050801~ion homeostasis,GO:0050900~leukocyte migration,GO:0051094~positive regulation of developmental process,GO:0051240~positive regulation of multicellular organismal process,GO:0051384~response to glucocorticoid stimulus,GO:0051674~localization of cell,GO:0055065~metal ion homeostasis,GO:0055066~di-, tri-valent inorganic cation homeostasis,GO:0055074~calcium ion homeostasis,GO:0055080~cation homeostasis,GO:0055082~cellular chemical homeostasis,GO:0060326~cell chemotaxis,	PIRSF001950:small inducible chemokine, C/CC types,PIRSF500570:small inducible cytokine A5,
37061_at	chitinase 1 (chitotriosidase)	Homo sapiens		GO:0000323~lytic vacuole,GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005764~lysosome,GO:0005773~vacuole,GO:0044421~extracellular region part,		GO:0001871~pattern binding,GO:0004568~chitinase activity,GO:0008061~chitin binding,GO:0030246~carbohydrate binding,GO:0030247~polysaccharide binding,GO:0043167~ion binding,GO:0043169~cation binding,	SM00494:ChtBD2,SM00636:Glyco_18,		3d-structure,alternative splicing,carbohydrate metabolism,Chitin degradation,Chitin-binding,complete proteome,direct protein sequencing,disulfide bond,glycosidase,hydrolase,lysosome,polymorphism,polysaccharide degradation,Secreted,signal,	hsa00520:Amino sugar and nucleotide sugar metabolism,	IPR001223:Glycoside hydrolase, family 18, catalytic domain,IPR001579:Glycoside hydrolase, chitinase active site,IPR002557:Chitin binding protein, peritrophin-A,IPR011583:Chitinase II,IPR013781:Glycoside hydrolase, subgroup, catalytic core,	active site:Proton donor,chain:Chitotriosidase-1,disulfide bond,domain:Chitin-binding type-2,helix,sequence variant,signal peptide,splice variant,strand,turn,	Chitotriosidase deficiency,	GO:0000272~polysaccharide catabolic process,GO:0005976~polysaccharide metabolic process,GO:0006022~aminoglycan metabolic process,GO:0006026~aminoglycan catabolic process,GO:0006030~chitin metabolic process,GO:0006032~chitin catabolic process,GO:0006955~immune response,GO:0009057~macromolecule catabolic process,GO:0009617~response to bacterium,GO:0016052~carbohydrate catabolic process,	PIRSF001061:chitinase-like protein,
32010_at	chromosome 22 open reading frame 33	Homo sapiens							alternative splicing,complete proteome,			chain:Protein EAN57,splice variant,			
38482_at	claudin 7	Homo sapiens		GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0005923~tight junction,GO:0016021~integral to membrane,GO:0016327~apicolateral plasma membrane,GO:0030054~cell junction,GO:0031224~intrinsic to membrane,GO:0043296~apical junction complex,GO:0044459~plasma membrane part,GO:0070160~occluding junction,		GO:0005198~structural molecule activity,GO:0042802~identical protein binding,			alternative splicing,cell junction,cell membrane,complete proteome,membrane,polymorphism,Tight junction,transmembrane,	hsa04514:Cell adhesion molecules (CAMs),hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,	IPR003552:Claudin-7,IPR004031:PMP-22/EMP/MP20/Claudin,IPR006187:Claudin,IPR017974:Claudin, conserved site,	chain:Claudin-7,region of interest:Interactions with TJP1, TJP2 and TJP3,sequence conflict,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0007155~cell adhesion,GO:0016337~cell-cell adhesion,GO:0016338~calcium-independent cell-cell adhesion,GO:0022610~biological adhesion,	
35169_at	collagen, type XVI, alpha 1	Homo sapiens		GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen,GO:0005593~FACIT collagen,GO:0005597~collagen type XVI,GO:0030934~anchoring collagen,GO:0031012~extracellular matrix,GO:0044420~extracellular matrix part,GO:0044421~extracellular region part,		GO:0005178~integrin binding,GO:0005198~structural molecule activity,GO:0032403~protein complex binding,	SM00210:TSPN,		alternative splicing,cell adhesion,cell binding,coiled coil,collagen,complete proteome,direct protein sequencing,extracellular matrix,glycoprotein,hydroxylation,hydroxylysine,hydroxyproline,polymorphism,repeat,Secreted,signal,trimer,triple helix,		IPR003129:Laminin G, thrombospondin-type, N-terminal,IPR008160:Collagen triple helix repeat,	chain:Collagen alpha-1(XVI) chain,domain:TSP N-terminal,glycosylation site:N-linked (GlcNAc...),region of interest:Nonhelical region 1 (NC1),region of interest:Nonhelical region 10 (NC10),region of interest:Nonhelical region 2 (NC2),region of interest:Nonhelical region 3 (NC3),region of interest:Nonhelical region 4 (NC4),region of interest:Nonhelical region 5 (NC5),region of interest:Nonhelical region 6 (NC6),region of interest:Nonhelical region 7 (NC7),region of interest:Nonhelical region 8 (NC8),region of interest:Nonhelical region 9 (NC9),region of interest:Triple-helical region 1 (COL1) with 2 imperfections,region of interest:Triple-helical region 2 (COL2) with 2 imperfections,region of interest:Triple-helical region 3 (COL3),region of interest:Triple-helical region 4 (COL4) with 2 imperfections,region of interest:Triple-helical region 5 (COL5) with 3 imperfections,region of interest:Triple-helical region 6 (COL6) with 1 imperfection,region of interest:Triple-helical region 7 (COL7) with 1 imperfection,region of interest:Triple-helical region 8 (COL8) with 1 imperfection,region of interest:Triple-helical region 9 (COL9) with 3 imperfections,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,splice variant,		GO:0007155~cell adhesion,GO:0007166~cell surface receptor linked signal transduction,GO:0007229~integrin-mediated signaling pathway,GO:0007565~female pregnancy,GO:0022610~biological adhesion,	PIRSF002258:collagen alpha 1(IV) chain,
32250_at	complement factor H	Homo sapiens		GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0044421~extracellular region part,			SM00032:CCP,		3d-structure,age-related macular degeneration,alternative splicing,complement alternate pathway,complete proteome,direct protein sequencing,disease mutation,disulfide bond,glycoprotein,immune response,innate immunity,polymorphism,repeat,Secreted,signal,sushi,	hsa04610:Complement and coagulation cascades,	IPR000436:Sushi/SCR/CCP,IPR016060:Complement control module,	chain:Complement factor H,disulfide bond,domain:Sushi 1,domain:Sushi 10,domain:Sushi 11,domain:Sushi 12,domain:Sushi 13,domain:Sushi 14,domain:Sushi 15,domain:Sushi 16,domain:Sushi 17,domain:Sushi 18,domain:Sushi 19,domain:Sushi 2,domain:Sushi 20,domain:Sushi 3,domain:Sushi 4,domain:Sushi 5,domain:Sushi 6,domain:Sushi 7,domain:Sushi 8,domain:Sushi 9,glycosylation site:N-linked (GlcNAc...),helix,sequence conflict,sequence variant,signal peptide,site:Not glycosylated,splice variant,strand,turn,	Basal laminar drusen,Complement factor H deficiency,Complement factor H polymorphism in age-related macular degeneration,Factor H and factor H-like 1,Hemolytic-uremic syndrome,Macular degeneration, age-related, 4,Membranoproliferative glomerulonephritis with CFH deficiency,Myocardial infarction, susceptibility to,	GO:0002252~immune effector process,GO:0002253~activation of immune response,GO:0002526~acute inflammatory response,GO:0002541~activation of plasma proteins involved in acute inflammatory response,GO:0002684~positive regulation of immune system process,GO:0006508~proteolysis,GO:0006952~defense response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0006956~complement activation,GO:0006957~complement activation, alternative pathway,GO:0006959~humoral immune response,GO:0009611~response to wounding,GO:0016485~protein processing,GO:0045087~innate immune response,GO:0048584~positive regulation of response to stimulus,GO:0050778~positive regulation of immune response,GO:0051604~protein maturation,GO:0051605~protein maturation by peptide bond cleavage,	PIRSF002482:complement factor H,
